epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7748.56,1.01476,1.48932,1.35926,0.65096,0.533,0.57984,0.44463,1.01238,1.3623,1.42298,0.005842,0.005842,0.005842
44,7926.05,1.01224,1.46979,1.35687,0.64497,0.54394,0.58333,0.44709,1.01079,1.3575,1.42195,0.005743,0.005743,0.005743
45,8103.44,1.00776,1.45519,1.35012,0.63529,0.55086,0.58628,0.44957,1.00872,1.35185,1.42022,0.005644,0.005644,0.005644
46,8281.27,1.0065,1.43998,1.3469,0.64774,0.54661,0.58929,0.45211,1.00771,1.34957,1.4191,0.005545,0.005545,0.005545
47,8458.77,1.00345,1.4251,1.3495,0.6552,0.54677,0.59101,0.45415,1.0067,1.34373,1.41831,0.005446,0.005446,0.005446
48,8636.44,0.99573,1.40489,1.34442,0.66545,0.54576,0.59284,0.45515,1.0054,1.34103,1.41765,0.005347,0.005347,0.005347
49,8813.85,0.99891,1.38969,1.34303,0.6696,0.54946,0.59466,0.45711,1.00432,1.33761,1.41707,0.005248,0.005248,0.005248
50,8990.82,0.99419,1.37452,1.33892,0.66671,0.55455,0.59635,0.45828,1.00371,1.33542,1.41674,0.005149,0.005149,0.005149
51,9168.4,0.98584,1.35701,1.33383,0.67307,0.55447,0.59871,0.46011,1.00269,1.33352,1.41638,0.00505,0.00505,0.00505
52,9346.29,0.98154,1.34485,1.33052,0.68064,0.55556,0.60066,0.46156,1.00222,1.32897,1.41596,0.004951,0.004951,0.004951
53,9523.53,0.98042,1.33426,1.33152,0.67869,0.55635,0.60211,0.46282,1.0013,1.32557,1.41544,0.004852,0.004852,0.004852
54,9702.33,0.97591,1.31351,1.32735,0.6792,0.55916,0.60424,0.46408,0.99973,1.32279,1.41433,0.004753,0.004753,0.004753
55,9880.2,0.97789,1.31012,1.3264,0.67967,0.55961,0.60583,0.46542,0.99868,1.31972,1.41338,0.004654,0.004654,0.004654
56,10057.8,0.97231,1.2922,1.32663,0.68064,0.5627,0.60812,0.46752,0.99846,1.31689,1.41322,0.004555,0.004555,0.004555
57,10235.5,0.96559,1.27159,1.31705,0.6864,0.56236,0.60954,0.46871,0.99768,1.31477,1.41235,0.004456,0.004456,0.004456
58,10413,0.9606,1.25376,1.31765,0.69284,0.56122,0.61132,0.47026,0.99647,1.31221,1.41142,0.004357,0.004357,0.004357
59,10590.8,0.96385,1.24826,1.31815,0.6776,0.56906,0.61297,0.47145,0.99567,1.31009,1.41088,0.004258,0.004258,0.004258
60,10768.2,0.95899,1.23761,1.31218,0.68115,0.56915,0.6145,0.47306,0.99479,1.30687,1.41029,0.004159,0.004159,0.004159
61,10946.1,0.95453,1.217,1.31162,0.68269,0.5706,0.6159,0.47407,0.99388,1.30405,1.4095,0.00406,0.00406,0.00406
62,11123.7,0.94855,1.19477,1.30407,0.68302,0.57135,0.61752,0.47532,0.99265,1.30154,1.40831,0.003961,0.003961,0.003961
63,11301.5,0.94361,1.18317,1.29906,0.68432,0.5739,0.61824,0.4764,0.99211,1.2999,1.40792,0.003862,0.003862,0.003862
64,11479.3,0.93866,1.16942,1.29629,0.68037,0.57776,0.61918,0.47766,0.99183,1.29775,1.40776,0.003763,0.003763,0.003763
65,11657.1,0.93665,1.16218,1.29653,0.68209,0.57765,0.62035,0.47864,0.99152,1.29653,1.40741,0.003664,0.003664,0.003664
66,11834.7,0.93506,1.15279,1.29681,0.68547,0.58002,0.6219,0.47938,0.99091,1.29525,1.40706,0.003565,0.003565,0.003565
67,12012.6,0.92773,1.1333,1.28967,0.6939,0.57704,0.62299,0.48027,0.99057,1.2941,1.40713,0.003466,0.003466,0.003466
68,12190.3,0.92554,1.1225,1.2844,0.6961,0.57512,0.62339,0.48109,0.99031,1.29188,1.40678,0.003367,0.003367,0.003367
69,12368,0.92372,1.1152,1.28765,0.6944,0.57859,0.6249,0.4823,0.98976,1.29148,1.4065,0.003268,0.003268,0.003268
70,12545.9,0.91844,1.09655,1.28368,0.69994,0.57751,0.62632,0.48342,0.98905,1.28929,1.40624,0.003169,0.003169,0.003169
71,12723.6,0.90965,1.07479,1.27502,0.7049,0.57536,0.62743,0.48483,0.98811,1.28733,1.40553,0.00307,0.00307,0.00307
72,12901.2,0.91102,1.07436,1.27695,0.70595,0.57793,0.6291,0.4863,0.98754,1.28514,1.4051,0.002971,0.002971,0.002971
73,13078.3,0.90191,1.05693,1.27021,0.70733,0.57792,0.62995,0.48741,0.98618,1.28275,1.40405,0.002872,0.002872,0.002872
74,13256.1,0.89876,1.04135,1.26619,0.70743,0.57931,0.63126,0.4886,0.98551,1.28095,1.40364,0.002773,0.002773,0.002773
75,13433.7,0.89761,1.03034,1.26659,0.70863,0.58167,0.63296,0.48976,0.9845,1.2787,1.40292,0.002674,0.002674,0.002674
76,13611.6,0.89328,1.03103,1.26433,0.70718,0.58255,0.6337,0.49083,0.98392,1.27699,1.40241,0.002575,0.002575,0.002575
77,13789.1,0.88469,1.00899,1.26004,0.70595,0.58493,0.6349,0.49202,0.98299,1.27539,1.40184,0.002476,0.002476,0.002476
