epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.905,1.20052,3.57609,1.54765,0.33321,0.22242,0.16118,0.11375,1.25718,2.83698,1.69884,0.00333072,0.00333072,0.00333072
2,675.237,1.22503,2.86128,1.54941,0.26449,0.18998,0.11674,0.07952,1.37701,3.16106,1.85216,0.0065321,0.0065321,0.0065321
3,1002.47,1.3242,3.01111,1.63997,0.31105,0.14814,0.08336,0.05362,1.47301,3.30321,1.88611,0.00960149,0.00960149,0.00960149
4,1328.64,1.36213,3.0714,1.67005,0.40639,0.21135,0.15357,0.1052,1.37601,2.8086,1.79959,0.009406,0.009406,0.009406
5,1658.8,1.30652,2.84857,1.62145,0.38281,0.2538,0.19699,0.13717,1.30503,2.57499,1.7197,0.009208,0.009208,0.009208
6,1989.11,1.26071,2.68961,1.59451,0.40989,0.27237,0.22625,0.16014,1.26273,2.46766,1.67934,0.00901,0.00901,0.00901
7,2319.3,1.23593,2.5654,1.56725,0.36643,0.31221,0.25481,0.18214,1.24891,2.34229,1.66748,0.008812,0.008812,0.008812
8,2661.97,1.21449,2.45882,1.54743,0.40625,0.31626,0.27965,0.20517,1.20024,2.25255,1.63038,0.008614,0.008614,0.008614
9,3007.38,1.19768,2.38169,1.53215,0.43546,0.31672,0.29585,0.21818,1.1802,2.15841,1.62669,0.008416,0.008416,0.008416
10,3347,1.1758,2.30999,1.51649,0.44535,0.34404,0.31442,0.22969,1.16997,2.08346,1.59929,0.008218,0.008218,0.008218
11,3677.05,1.1633,2.23871,1.5113,0.41098,0.36538,0.33817,0.24924,1.15564,2.02742,1.59216,0.00802,0.00802,0.00802
12,4021.84,1.15188,2.17729,1.49769,0.45897,0.36998,0.35663,0.26542,1.14328,1.97242,1.57104,0.007822,0.007822,0.007822
13,4368.07,1.13779,2.13137,1.48944,0.47134,0.37932,0.37008,0.27542,1.13113,1.91905,1.56021,0.007624,0.007624,0.007624
14,4712.13,1.12807,2.0778,1.48296,0.47065,0.39676,0.38541,0.28748,1.11721,1.85787,1.5585,0.007426,0.007426,0.007426
15,5056.72,1.12038,2.04198,1.47077,0.49417,0.40301,0.39935,0.29965,1.10382,1.82105,1.54191,0.007228,0.007228,0.007228
16,5402.27,1.10494,1.98829,1.45931,0.48393,0.41267,0.41268,0.3071,1.10332,1.76274,1.53193,0.00703,0.00703,0.00703
17,5747.41,1.10043,1.94751,1.45744,0.50732,0.42492,0.42425,0.31808,1.08482,1.7261,1.51705,0.006832,0.006832,0.006832
18,6092.13,1.0945,1.91069,1.45257,0.51443,0.43444,0.44174,0.33289,1.08315,1.7081,1.51691,0.006634,0.006634,0.006634
19,6437.06,1.08642,1.8765,1.44475,0.52893,0.44475,0.45515,0.3402,1.07576,1.65291,1.50168,0.006436,0.006436,0.006436
20,6782.21,1.07223,1.82753,1.43201,0.54911,0.45199,0.46435,0.34901,1.06381,1.62992,1.50201,0.006238,0.006238,0.006238
21,7126.32,1.0727,1.80609,1.43189,0.54355,0.46281,0.47254,0.35626,1.0544,1.6044,1.489,0.00604,0.00604,0.00604
22,7470.7,1.06031,1.75697,1.4228,0.56083,0.46245,0.48925,0.36966,1.05157,1.57668,1.49069,0.005842,0.005842,0.005842
23,7815.1,1.05605,1.73156,1.41968,0.59428,0.46291,0.50072,0.37769,1.04944,1.54931,1.48716,0.005644,0.005644,0.005644
24,8160,1.03813,1.67926,1.40471,0.61147,0.46868,0.50806,0.38255,1.0454,1.52695,1.48608,0.005446,0.005446,0.005446
25,8504.92,1.03692,1.66556,1.4034,0.59906,0.49015,0.51781,0.39262,1.03509,1.5001,1.47969,0.005248,0.005248,0.005248
26,8849.66,1.02605,1.62448,1.39567,0.60684,0.48967,0.52631,0.39779,1.04001,1.48622,1.4803,0.00505,0.00505,0.00505
27,9194.58,1.03426,1.60411,1.40183,0.60996,0.50736,0.53956,0.40758,1.02993,1.4549,1.47642,0.004852,0.004852,0.004852
28,9539.31,1.01692,1.57,1.38814,0.60851,0.50743,0.54699,0.41367,1.02625,1.44359,1.46839,0.004654,0.004654,0.004654
29,9875.89,1.01358,1.54454,1.3881,0.62639,0.51125,0.55357,0.41889,1.02415,1.43002,1.46541,0.004456,0.004456,0.004456
30,10197.8,1.00218,1.50976,1.3776,0.6275,0.51807,0.56146,0.42659,1.01433,1.41276,1.46143,0.004258,0.004258,0.004258
31,10510.4,0.99419,1.47731,1.3737,0.64083,0.51645,0.56777,0.4319,1.01213,1.39799,1.45847,0.00406,0.00406,0.00406
32,10823,0.99609,1.45166,1.36843,0.64276,0.52948,0.57487,0.43887,1.00676,1.38151,1.45183,0.003862,0.003862,0.003862
33,11135.6,0.98494,1.41958,1.36242,0.65301,0.53082,0.58143,0.44483,1.00292,1.37502,1.4526,0.003664,0.003664,0.003664
34,11448.3,0.97978,1.40623,1.36211,0.66206,0.53259,0.5903,0.44988,0.99924,1.36342,1.44971,0.003466,0.003466,0.003466
35,11761.6,0.97229,1.37774,1.35237,0.65145,0.54521,0.59538,0.45436,0.99738,1.35723,1.44867,0.003268,0.003268,0.003268
36,12074.3,0.95914,1.33721,1.34712,0.66982,0.54473,0.60063,0.4596,0.99419,1.34428,1.44766,0.00307,0.00307,0.00307
37,12387,0.95198,1.30984,1.33695,0.69712,0.54282,0.60664,0.46453,0.98837,1.33167,1.44571,0.002872,0.002872,0.002872
38,12699.7,0.94354,1.28031,1.33261,0.68639,0.55529,0.61092,0.46849,0.98685,1.32515,1.44557,0.002674,0.002674,0.002674
39,13012.1,0.93643,1.25989,1.32772,0.70959,0.54605,0.61507,0.47189,0.98544,1.31416,1.44463,0.002476,0.002476,0.002476
40,13324.7,0.92955,1.2216,1.32319,0.70566,0.55378,0.61929,0.47578,0.98493,1.31016,1.44512,0.002278,0.002278,0.002278
41,13653.6,0.8515,1.05228,1.33708,0.68253,0.57093,0.62337,0.48027,0.97804,1.29999,1.44159,0.00208,0.00208,0.00208
42,13965.8,0.83148,0.98839,1.31708,0.67836,0.5818,0.6294,0.48562,0.97302,1.29099,1.43826,0.001882,0.001882,0.001882
43,14278.2,0.81789,0.9461,1.30751,0.70252,0.57697,0.63328,0.48953,0.96953,1.28596,1.43584,0.001684,0.001684,0.001684
44,14590.7,0.80215,0.90588,1.29487,0.69709,0.58388,0.63676,0.49296,0.96767,1.28202,1.43501,0.001486,0.001486,0.001486
45,14909.1,0.79039,0.86573,1.2815,0.70585,0.57936,0.63949,0.49567,0.96593,1.27763,1.43482,0.001288,0.001288,0.001288
46,15228.7,0.77658,0.83798,1.27182,0.70481,0.58856,0.64187,0.49835,0.96503,1.27589,1.43547,0.00109,0.00109,0.00109
47,15546.1,0.76071,0.79852,1.25679,0.71079,0.58757,0.64403,0.50061,0.96391,1.27529,1.4353,0.000892,0.000892,0.000892
48,15861.1,0.7539,0.77384,1.25666,0.72189,0.58459,0.64578,0.50223,0.96282,1.27625,1.4351,0.000694,0.000694,0.000694
49,16174.3,0.74163,0.74699,1.24192,0.72948,0.58461,0.64696,0.50321,0.96126,1.27453,1.43455,0.000496,0.000496,0.000496
50,16487.5,0.73087,0.72496,1.23819,0.72679,0.5865,0.64817,0.5043,0.96095,1.27485,1.43486,0.000298,0.000298,0.000298
