epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18949.8,0.78966,3.19783,1.53066,0.47209,0.39958,0.39932,0.30348,0.86355,3.79107,1.61116,0.005842,0.005842,0.005842
44,19390.2,0.78481,3.13209,1.52266,0.46531,0.39927,0.40178,0.30487,0.86326,3.77777,1.61077,0.005743,0.005743,0.005743
45,19830.8,0.78276,3.06994,1.52132,0.47393,0.40277,0.40424,0.30676,0.8626,3.77219,1.61019,0.005644,0.005644,0.005644
46,20270.8,0.77476,3.01324,1.51137,0.47035,0.41036,0.40803,0.30903,0.86171,3.7592,1.60909,0.005545,0.005545,0.005545
47,20711.4,0.77935,2.99598,1.51827,0.47064,0.41298,0.41025,0.31086,0.8603,3.75011,1.60769,0.005446,0.005446,0.005446
48,21151.5,0.77006,2.90377,1.51063,0.47641,0.41749,0.41254,0.31237,0.85978,3.745,1.60738,0.005347,0.005347,0.005347
49,21591.6,0.76653,2.83611,1.50311,0.47789,0.41838,0.41456,0.31377,0.85913,3.74352,1.60718,0.005248,0.005248,0.005248
50,22032.5,0.76189,2.75791,1.49622,0.48075,0.41898,0.41692,0.3159,0.85917,3.73828,1.60751,0.005149,0.005149,0.005149
51,22473,0.75939,2.69018,1.49091,0.48114,0.41914,0.41922,0.3175,0.85888,3.73242,1.60715,0.00505,0.00505,0.00505
52,22913.4,0.75388,2.65174,1.48866,0.48634,0.4211,0.42129,0.31905,0.85825,3.72777,1.60671,0.004951,0.004951,0.004951
53,23353.1,0.75215,2.60396,1.48415,0.49346,0.41706,0.42332,0.32017,0.85801,3.7239,1.60646,0.004852,0.004852,0.004852
54,23793.5,0.74743,2.53692,1.48011,0.49789,0.41582,0.42473,0.32128,0.85759,3.72003,1.60572,0.004753,0.004753,0.004753
55,24234,0.74403,2.49275,1.47559,0.50127,0.41663,0.42669,0.32244,0.8572,3.71652,1.6051,0.004654,0.004654,0.004654
